DATABASE	FORMULA	CHARGE
cpd00464_c0	C8H8O	0
cpd00465_c0	C3H5N2O4	-1
cpd00466_c0	C12H8N2	0
cpd00467_c0	C3H6NO4S	1
cpd00468_c0	C5H9O6PR	-1
cpd00469_c0	C14H25NO11	0
cpd00470_c0	C9H23N3O	2
cpd00471_c0	C15H9O10S	-1
cpd00472_c0	C15H19N2O18P2	-3
cpd00473_c0	C6H9O7	-1
cpd00474_c0	C19H28O	0
cpd00475_c0	C5H10O8P	-1
cpd00477_c0	C7H9NO5	-2
cpd00478_c0	C8H11NO6P	-1
cpd00479_c0	C7H5O4	-1
cpd00480_c0	C6H9O7	-1
cpd00481_c0	C25H39N7O17P3S	-3
cpd00482_c0	C3H5O7P	-2
cpd00483_c0	C7H6NO3	-1
cpd00484_c0	C7H6O2	0
cpd00485_c0	C6H12O9P	-1
cpd00486_c0	C10H9NO	0
cpd00487_c0	C3H4O2R	-1
cpd00488_c0	C20H33O5	-1
cpd00489_c0	C8H7O3	-1
cpd00490_c0	C11H12N2O3	0
cpd00491_c0	C6H14O9P	-1
cpd00492_c0	C8H15NO6	0
cpd00493_c0	C8H13N2O5P	0
cpd00494_c0	C8H7NO2	0
cpd00495_c0	C6H8NO4	-1
cpd00496_c0	C5H8O5	0
cpd00497_c0	C10H12N4O9P	-1
cpd00498_c0	C6H9O4	-1
cpd00499_c0	C6H12O12P2	-2
cpd00501_c0	C6H12O9P	-1
cpd00502_c0	C20H22N8O6	-2
cpd00503_c0	C6H12O12P2	-2
cpd00504_c0	C7H14N2O4	0
cpd00506_c0	C8H13N2O5S	-1
cpd00507_c0	C8H20NO6P	0
cpd00508_c0	C6H9O3	-1
cpd00509_c0	C5H10O7P	-1
cpd00510_c0	C5H10O7P	-1
cpd00511_c0	C19H28O2	0
cpd00512_c0	C5H9O6PR	-1
cpd00513_c0	C5H9O6PR	-1
cpd00514_c0	C5H9O12P3R	-3
cpd00515_c0	C6H6O7	-2
cpd00516_c0	C7H14N2O4	0
cpd00517_c0	C4H7O7PR	-1
cpd00518_c0	C6H5O4	-1
cpd00519_c0	C25H36N7O19P3S	-4
cpd00520_c0	C5H7O5	-1
cpd00521_c0	C16H22N2O15P2	-2
cpd00522_c0	C16H22N2O15P2	-2
cpd00523_c0	C12H22O14P	-1
cpd00524_c0	C6H10O6	0
cpd00525_c0	C28H39N5O23P2	-4
cpd00526_c0	C24H39O5	-1
cpd00527_c0	C20H31O5	-1
cpd00528_c0	N2	0
cpd00530_c0	C10H12N4O15P3	-3
cpd00531_c0	Hg	2
cpd00532_c0	HO2	0
cpd00533_c0	C9H13N3O10P2	-2
cpd00534_c0	I	-1
cpd00536_c0	C18H33O2	-1
cpd00537_c0	C18H32O16	0
cpd00538_c0	C6H5N5O	0
cpd00540_c0	C5H11NO2	0
cpd00541_c0	C8H13O2S2	-1
cpd00542_c0	CNR	0
cpd00543_c0	C7H8O2	0
cpd00544_c0	C8H15NO	0
cpd00545_c0	C16H24N2O4	0
cpd00546_c0	C21H30O5	0
cpd00547_c0	C3H7NO2S	0
cpd00548_c0	C6H12O6	0
cpd00549_c0	C6H15N2O2	1
cpd00550_c0	C3H7NO3	0
cpd00551_c0	C4H6O2	0
cpd00552_c0	F	-1
cpd00553_c0	C45H76NO17	1
cpd00554_c0	C10H14N2	0
cpd00555_c0	C43H66N12O12S2	0
cpd00556_c0	C5H5N	0
cpd00557_c0	C42H36FeN4O16	-8
cpd00558_c0	C10H30N4	4
cpd00559_c0	C30H50	0
cpd00560_c0	W	0
cpd00561_c0	C8H8O3	0
cpd00562_c0	C8H18O	0
cpd00563_c0	C20H18NO4	1
cpd00564_c0	C11H6O4	0
cpd00565_c0	C16H22O8	0
cpd00566_c0	C21H28O5	0
cpd00567_c0	C5H8NO2	-1
cpd00568_c0	C6H12O6	0
cpd00569_c0	C56H92O29	0
cpd00570_c0	C15H12O2	0
cpd00571_c0	C6H8O8	-2
cpd00572_c0	C6H9N3O2	0
cpd00573_c0	C6H11O7	-1
cpd00574_c0	C6H10O4	0
cpd00575_c0	C34H62N5O9	-1
cpd00576_c0	C15H14O5	0
cpd00577_c0	C20H27O2	-1
cpd00578_c0	C10H10O4	0
cpd00579_c0	C10H13N2O	1
cpd00580_c0	C8H13NO	0
cpd00581_c0	C6H5N2O2	-1
cpd00582_c0	C16H14O5	0
cpd00583_c0	C9H14NO3	1
cpd00584_c0	C14H23N3O15P2	-2
cpd00585_c0	C4H7N3O	0
cpd00586_c0	C6H15N4O2	1
cpd00587_c0	C3H7NO2S	0
cpd00588_c0	C6H14O6	0
cpd00589_c0	C6H12O6	0
cpd00590_c0	C19H10O6	-2
cpd00591_c0	C2H8N	1
cpd00592_c0	C22H33N7O17P3S	-3
cpd00593_c0	C15H10O2	0
cpd00594_c0	C6H11O7	-1
cpd00595_c0	C5H9O4R	0
cpd00596_c0	C3H3N2O4	-1
cpd00597_c0	C5H9O2	-1
cpd00598_c0	C3HO2	-1
cpd00599_c0	C7H5O3	-1
cpd00601_c0	C10H16O	0
cpd00602_c0	C10H16O	0
cpd00604_c0	C9H7O3	-1
cpd00605_c0	C4H2N2O3	-2
cpd00606_c0	C16H12O5	0
cpd00607_c0	C5H6O5	-2
cpd00608_c0	C6H11O7	-1
cpd00609_c0	C6H8O8	-2
cpd00610_c0	C5H10N2O3	0
cpd00611_c0	C4H9NO3	0
cpd00612_c0	C9H9NO4	0
cpd00613_c0	C16H34O	0
cpd00614_c0	HFeS	0
cpd00615_c0	C18H42N5O10	5
cpd00616_c0	C10H12NO5	-1
cpd00617_c0	C24H37N7O18P3S	-3
cpd00618_c0	C10H8	0
cpd00619_c0	C3O5	-2
cpd00620_c0	C11H22N2O4S	0
cpd00621_c0	C23H50N5O14	5
